
Task1 Solution (Block Perspective) of Teaching Assistant:

Job0 obtains 5 cores (speed=20.16) and finishes at time 209.759:
        Block0: H0, C4, R30 (time=1.59)
        Block1: H0, C0, R31 (time=3.77)
        Block2: H0, C7, R20 (time=2.23)
        Block3: H0, C8, R32 (time=1.24)
        Block4: H0, C0, R36 (time=1.44)
        Block5: H0, C8, R29 (time=2.98)
        Block6: H0, C4, R26 (time=4.12)
        Block7: H0, C4, R28 (time=2.93)
        Block8: H0, C7, R22 (time=1.54)
        Block9: H0, C4, R31 (time=1.54)
        Block10: H0, C1, R33 (time=1.74)
        Block11: H0, C7, R21 (time=1.88)
        Block12: H0, C1, R35 (time=1.19)
        Block13: H0, C7, R23 (time=1.19)
        Block14: H0, C1, R31 (time=3.08)
        Block15: H0, C4, R27 (time=3.72)
        Block16: H0, C1, R30 (time=3.67)
        Block17: H0, C8, R30 (time=2.68)
        Block18: H0, C1, R29 (time=4.12)
        Block19: H0, C7, R19 (time=2.93)
        Block20: H0, C8, R27 (time=4.17)
        Block21: H0, C4, R29 (time=2.78)
        Block22: H0, C0, R34 (time=2.73)
        Block23: H0, C0, R32 (time=3.77)
        Block24: H0, C8, R31 (time=1.79)
        Block25: H0, C0, R37 (time=1.09)
        Block26: H0, C0, R35 (time=1.64)
        Block27: H0, C0, R33 (time=3.22)
        Block28: H0, C7, R17 (time=4.66)
        Block29: H0, C8, R33 (time=1.24)
        Block30: H0, C1, R32 (time=2.63)
        Block31: H0, C8, R28 (time=3.67)
        Block32: H0, C7, R18 (time=3.32)
        Block33: H0, C1, R34 (time=1.29)

Job1 obtains 8 cores (speed=11.73) and finishes at time 92.47:
        Block0: H0, C5, R17 (time=4.86)
        Block1: H0, C1, R8 (time=6.91)
        Block2: H0, C1, R9 (time=4.86)
        Block3: H0, C3, R16 (time=5.37)
        Block4: H0, C9, R14 (time=8.01)
        Block5: H0, C8, R9 (time=7.93)
        Block6: H0, C8, R10 (time=1.71)
