
Task2 Solution (Block Perspective) of Teaching Assistant:

Job0 obtains 2 cores (speed=36.075) and finishes at time 31.202:
        Block0: H0, C0, R11 (time=1.52)
        Block1: H2, C9, R10 (time=1.80)
        Block2: H0, C0, R5 (time=2.25)
        Block3: H0, C0, R6 (time=2.19)
        Block4: H0, C0, R3 (time=2.55)
        Block5: H2, C9, R7 (time=2.19)
        Block6: H2, C9, R9 (time=2.00)
        Block7: H0, C0, R7 (time=2.16)
        Block8: H2, C9, R14 (time=0.86)
        Block9: H2, C9, R12 (time=1.33)
        Block10: H2, C9, R3 (time=2.61)
        Block11: H2, C9, R5 (time=2.30)
        Block12: H0, C0, R8 (time=2.05)
        Block13: H0, C0, R13 (time=1.22)
        Block14: H2, C9, R6 (time=2.22)
        Block15: H2, C9, R2 (time=2.69)
        Block16: H0, C0, R4 (time=2.38)
        Block17: H0, C0, R12 (time=1.33)
        Block18: H0, C0, R14 (time=0.80)
        Block19: H2, C9, R16 (time=0.55)
        Block20: H0, C0, R15 (time=0.67)
        Block21: H2, C9, R4 (time=2.47)
        Block22: H2, C9, R15 (time=0.72)
        Block23: H0, C0, R10 (time=1.86)
        Block24: H0, C0, R1 (time=2.77)
        Block25: H2, C9, R13 (time=1.05)
        Block26: H0, C0, R9 (time=1.97)
        Block27: H2, C9, R8 (time=2.02)
        Block28: H2, C9, R1 (time=2.72)
        Block29: H0, C0, R2 (time=2.66)
        Block30: H2, C9, R11 (time=1.39)

Job1 obtains 6 cores (speed=19.38) and finishes at time 55.16:
        Block0: H2, C4, R5 (time=2.48)
        Block1: H0, C2, R2 (time=4.39)
        Block2: H3, C3, R7 (time=0.52)
        Block3: H3, C3, R6 (time=1.91)
        Block4: H2, C8, R7 (time=0.88)
        Block5: H4, C3, R2 (time=4.28)
        Block6: H3, C3, R3 (time=4.18)
        Block7: H2, C8, R1 (time=5.11)
        Block8: H2, C4, R2 (time=4.59)
        Block9: H2, C1, R11 (time=2.17)
        Block10: H4, C3, R4 (time=2.89)
        Block11: H2, C8, R3 (time=3.82)
        Block12: H2, C4, R6 (time=1.75)
        Block13: H0, C2, R1 (time=5.11)
        Block14: H0, C2, R4 (time=3.41)
        Block15: H3, C3, R4 (time=3.35)
        Block16: H2, C1, R8 (time=4.65)
        Block17: H0, C2, R6 (time=1.29)
        Block18: H4, C3, R3 (time=4.03)
        Block19: H2, C8, R2 (time=4.34)
        Block20: H0, C2, R5 (time=2.53)
        Block21: H4, C3, R7 (time=1.03)
        Block22: H3, C3, R1 (time=5.16)
        Block23: H2, C4, R3 (time=3.72)
        Block24: H0, C2, R3 (time=3.92)
        Block25: H3, C3, R2 (time=4.34)
        Block26: H2, C4, R4 (time=3.41)
        Block27: H0, C2, R7 (time=1.03)
        Block28: H2, C1, R9 (time=4.13)
        Block29: H2, C8, R5 (time=2.32)
        Block30: H4, C3, R6 (time=1.14)
        Block31: H2, C4, R7 (time=0.57)
        Block32: H2, C8, R4 (time=3.66)
        Block33: H2, C4, R1 (time=5.01)
        Block34: H2, C8, R6 (time=1.65)
        Block35: H2, C1, R12 (time=1.96)
        Block36: H2, C1, R7 (time=4.70)
        Block37: H2, C1, R10 (time=3.35)
        Block38: H2, C1, R13 (time=0.57)
        Block39: H3, C3, R5 (time=2.17)
        Block40: H4, C3, R5 (time=2.84)
        Block41: H4, C3, R1 (time=5.16)

Job2 obtains 5 cores (speed=12.60) and finishes at time 195.46:
        Block0: H1, C1, R3 (time=4.29)
        Block1: H1, C1, R1 (time=7.38)
        Block2: H0, C1, R18 (time=2.06)
        Block3: H0, C1, R15 (time=6.59)
        Block4: H1, C1, R4 (time=3.41)
        Block5: H0, C1, R16 (time=6.27)
        Block6: H1, C1, R2 (time=6.59)
        Block7: H0, C1, R14 (time=7.38)
        Block8: H1, C1, R5 (time=3.02)
        Block9: H4, C0, R13 (time=6.35)
        Block10: H3, C1, R2 (time=6.83)
        Block11: H3, C1, R5 (time=1.59)
        Block12: H1, C1, R6 (time=0.79)
        Block13: H4, C0, R16 (time=2.22)
        Block14: H4, C6, R13 (time=2.46)
        Block15: H4, C0, R17 (time=1.43)
        Block16: H4, C6, R9 (time=7.30)
        Block17: H4, C6, R11 (time=3.89)
        Block18: H3, C1, R6 (time=0.79)
        Block19: H4, C6, R12 (time=3.73)
        Block20: H4, C0, R12 (time=7.30)
        Block21: H4, C6, R14 (time=1.51)
        Block22: H0, C1, R17 (time=3.25)
        Block23: H3, C1, R1 (time=6.90)
        Block24: H4, C6, R10 (time=6.59)
        Block25: H3, C1, R3 (time=6.27)
        Block26: H4, C0, R14 (time=4.68)
        Block27: H4, C0, R15 (time=3.41)
        Block28: H3, C1, R4 (time=3.41)

Job3 obtains 2 cores (speed=21.28) and finishes at time 190.71:
        Block0: H2, C3, R72 (time=0.66)
        Block1: H2, C3, R54 (time=3.06)
        Block2: H2, C3, R48 (time=3.43)
        Block3: H0, C0, R50 (time=0.89)
        Block4: H2, C3, R44 (time=3.95)
        Block5: H2, C3, R38 (time=4.23)
